#,Time(ms),CH1(mV),CH2(mV)
463,-0.0181200,620.00,-20.00
464,-0.0181600,640.00,0.00
465,-0.0182000,640.00,-20.00
466,-0.0182400,640.00,0.00
467,-0.0182800,600.00,-20.00
468,-0.0183200,640.00,0.00
469,-0.0183600,600.00,-20.00
470,-0.0184000,640.00,0.00
471,-0.0184400,600.00,-20.00
472,-0.0184800,640.00,0.00
473,-0.0185200,600.00,-20.00
474,-0.0185600,640.00,0.00
475,-0.0186000,620.00,-20.00
476,-0.0186400,660.00,0.00
477,-0.0186800,620.00,-20.00
478,-0.0187200,640.00,0.00
479,-0.0187600,620.00,-20.00
480,-0.0188000,640.00,0.00
481,-0.0188400,620.00,-20.00
482,-0.0188800,660.00,0.00
483,-0.0189200,600.00,-20.00
484,-0.0189600,640.00,0.00
485,-0.0190000,600.00,-20.00
486,-0.0190400,640.00,0.00
487,-0.0190800,620.00,-20.00
488,-0.0191200,640.00,0.00
489,-0.0191600,620.00,-20.00
490,-0.0192000,640.00,0.00
491,-0.0192400,620.00,-20.00
492,-0.0192800,640.00,0.00
493,-0.0193200,620.00,-20.00
494,-0.0193600,640.00,0.00
495,-0.0194000,640.00,-20.00
496,-0.0194400,640.00,0.00
497,-0.0194800,620.00,-20.00
498,-0.0195200,640.00,0.00
499,-0.0195600,620.00,-20.00
500,-0.0196000,640.00,0.00
501,-0.0196400,600.00,-20.00
502,-0.0196800,640.00,0.00
503,-0.0197200,600.00,-20.00
504,-0.0197600,660.00,0.00
505,-0.0198000,600.00,-20.00
506,-0.0198400,640.00,0.00
507,-0.0198800,600.00,-20.00
508,-0.0199200,640.00,0.00
509,-0.0199600,620.00,-20.00
510,-0.0200000,640.00,0.00
511,-0.0200400,620.00,-20.00
512,-0.0200800,640.00,0.00
513,-0.0201200,620.00,-20.00
514,-0.0201600,660.00,0.00
515,-0.0202000,640.00,-20.00
516,-0.0202400,640.00,0.00
517,-0.0202800,620.00,-20.00
518,-0.0203200,640.00,0.00
519,-0.0203600,600.00,-20.00
520,-0.0204000,640.00,0.00
521,-0.0204400,600.00,-20.00
522,-0.0204800,640.00,0.00
523,-0.0205200,600.00,-20.00
524,-0.0205600,640.00,0.00
525,-0.0206000,620.00,-20.00
526,-0.0206400,640.00,0.00
527,-0.0206800,620.00,-20.00
528,-0.0207200,640.00,0.00
529,-0.0207600,620.00,-20.00
530,-0.0208000,640.00,0.00
531,-0.0208400,620.00,-20.00
532,-0.0208800,640.00,0.00
533,-0.0209200,620.00,-20.00
534,-0.0209600,640.00,0.00
535,-0.0210000,620.00,-20.00
536,-0.0210400,640.00,0.00
537,-0.0210800,600.00,-20.00
538,-0.0211200,640.00,0.00
539,-0.0211600,600.00,-20.00
540,-0.0212000,640.00,0.00
541,-0.0212400,600.00,-20.00
542,-0.0212800,640.00,0.00
543,-0.0213200,620.00,-20.00
544,-0.0213600,640.00,0.00
545,-0.0214000,620.00,-20.00
546,-0.0214400,640.00,0.00
547,-0.0214800,620.00,-20.00
548,-0.0215200,640.00,0.00
549,-0.0215600,620.00,-20.00
550,-0.0216000,640.00,0.00
551,-0.0216400,620.00,-20.00
552,-0.0216800,640.00,0.00
553,-0.0217200,620.00,-20.00
554,-0.0217600,640.00,0.00
555,-0.0218000,600.00,-20.00
556,-0.0218400,640.00,0.00
557,-0.0218800,620.00,-20.00
558,-0.0219200,640.00,0.00
559,-0.0219600,620.00,-20.00
560,-0.0220000,640.00,0.00
561,-0.0220400,620.00,-20.00
562,-0.0220800,640.00,0.00
563,-0.0221200,600.00,-20.00
564,-0.0221600,640.00,0.00
565,-0.0222000,620.00,-20.00
566,-0.0222400,640.00,0.00
567,-0.0222800,640.00,-20.00
568,-0.0223200,660.00,0.00
569,-0.0223600,640.00,-20.00
570,-0.0224000,660.00,0.00
571,-0.0224400,620.00,-20.00
572,-0.0224800,640.00,0.00
573,-0.0225200,620.00,-20.00
574,-0.0225600,640.00,0.00
575,-0.0226000,620.00,-20.00
576,-0.0226400,640.00,0.00
577,-0.0226800,620.00,-20.00
578,-0.0227200,640.00,0.00
579,-0.0227600,620.00,-20.00
580,-0.0228000,640.00,0.00
581,-0.0228400,620.00,-20.00
582,-0.0228800,640.00,0.00
583,-0.0229200,640.00,-20.00
584,-0.0229600,640.00,0.00
585,-0.0230000,620.00,-20.00
586,-0.0230400,640.00,0.00
587,-0.0230800,620.00,-20.00
588,-0.0231200,640.00,0.00
589,-0.0231600,600.00,-20.00
590,-0.0232000,640.00,0.00
591,-0.0232400,600.00,-20.00
592,-0.0232800,640.00,0.00
593,-0.0233200,620.00,-20.00
594,-0.0233600,640.00,0.00
595,-0.0234000,620.00,-20.00
596,-0.0234400,640.00,0.00
597,-0.0234800,600.00,-20.00
598,-0.0235200,640.00,0.00
599,-0.0235600,620.00,-20.00
600,-0.0236000,640.00,0.00
601,-0.0236400,620.00,-20.00
602,-0.0236800,640.00,0.00
603,-0.0237200,620.00,-20.00
604,-0.0237600,640.00,0.00
605,-0.0238000,620.00,-20.00
606,-0.0238400,640.00,0.00
607,-0.0238800,620.00,-20.00
608,-0.0239200,640.00,0.00
609,-0.0239600,600.00,-20.00
610,-0.0240000,640.00,0.00
611,-0.0240400,600.00,-20.00
612,-0.0240800,640.00,0.00
613,-0.0241200,600.00,-20.00
614,-0.0241600,660.00,0.00
615,-0.0242000,620.00,-20.00
616,-0.0242400,660.00,0.00
617,-0.0242800,640.00,-20.00
618,-0.0243200,660.00,0.00
619,-0.0243600,620.00,-20.00
620,-0.0244000,640.00,0.00
621,-0.0244400,640.00,-20.00
622,-0.0244800,640.00,0.00
623,-0.0245200,620.00,-20.00
624,-0.0245600,640.00,0.00
625,-0.0246000,620.00,-20.00
626,-0.0246400,640.00,0.00
627,-0.0246800,600.00,-20.00
628,-0.0247200,640.00,0.00
629,-0.0247600,620.00,-20.00
630,-0.0248000,640.00,0.00
631,-0.0248400,620.00,-20.00
632,-0.0248800,640.00,0.00
633,-0.0249200,640.00,-20.00
634,-0.0249600,660.00,0.00
635,-0.0250000,640.00,-20.00
636,-0.0250400,660.00,0.00
637,-0.0250800,620.00,-20.00
638,-0.0251200,640.00,-20.00
639,-0.0251600,620.00,-20.00
640,-0.0252000,640.00,0.00
641,-0.0252400,600.00,-20.00
642,-0.0252800,640.00,0.00
643,-0.0253200,600.00,-20.00
644,-0.0253600,640.00,0.00
645,-0.0254000,620.00,-20.00
646,-0.0254400,640.00,0.00
647,-0.0254800,620.00,-20.00
648,-0.0255200,660.00,0.00
649,-0.0255600,620.00,-20.00
650,-0.0256000,660.00,0.00
651,-0.0256400,620.00,-20.00
652,-0.0256800,640.00,0.00
653,-0.0257200,620.00,-20.00
654,-0.0257600,640.00,0.00
655,-0.0258000,640.00,-20.00
656,-0.0258400,640.00,0.00
657,-0.0258800,620.00,-20.00
658,-0.0259200,640.00,0.00
659,-0.0259600,600.00,-20.00
660,-0.0260000,640.00,0.00
661,-0.0260400,600.00,-20.00
662,-0.0260800,640.00,0.00
663,-0.0261200,600.00,-20.00
664,-0.0261600,640.00,0.00
665,-0.0262000,620.00,-20.00
666,-0.0262400,640.00,0.00
667,-0.0262800,640.00,-20.00
668,-0.0263200,640.00,0.00
669,-0.0263600,640.00,-20.00
670,-0.0264000,640.00,0.00
671,-0.0264400,620.00,-20.00
672,-0.0264800,640.00,0.00
673,-0.0265200,620.00,-20.00
674,-0.0265600,640.00,0.00
675,-0.0266000,600.00,-20.00
676,-0.0266400,640.00,0.00
677,-0.0266800,620.00,-20.00
678,-0.0267200,640.00,0.00
679,-0.0267600,600.00,-20.00
680,-0.0268000,640.00,0.00
681,-0.0268400,600.00,-20.00
682,-0.0268800,660.00,0.00
683,-0.0269200,620.00,-20.00
684,-0.0269600,640.00,0.00
685,-0.0270000,620.00,-20.00
686,-0.0270400,640.00,0.00
687,-0.0270800,620.00,-20.00
688,-0.0271200,640.00,0.00
689,-0.0271600,620.00,-20.00
690,-0.0272000,640.00,0.00
691,-0.0272400,620.00,-20.00
692,-0.0272800,640.00,0.00
693,-0.0273200,620.00,-20.00
694,-0.0273600,640.00,0.00
695,-0.0274000,620.00,-20.00
696,-0.0274400,640.00,0.00
697,-0.0274800,600.00,-20.00
698,-0.0275200,640.00,0.00
699,-0.0275600,620.00,-20.00
700,-0.0276000,640.00,0.00
701,-0.0276400,620.00,-20.00
702,-0.0276800,640.00,0.00
703,-0.0277200,620.00,-20.00
704,-0.0277600,640.00,0.00
705,-0.0278000,640.00,-20.00
706,-0.0278400,660.00,0.00
707,-0.0278800,620.00,-20.00
